code;libelle;niveau;code_parent;code_famille;libelle_famille;section;categorie_principale;categorie_metier;profil_formulaire;ordre_affichage
201;FRAIS D'ETABLISSEMENT;FAMILLE;;201;FRAIS D'ETABLISSEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;201
201.001;Frais d'établissement;ARTICLE;201;201;FRAIS D'ETABLISSEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;201001
201.999;Autres frais d'établissement;ARTICLE;201;201;FRAIS D'ETABLISSEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;201999
202;PRIME DE REMBOURSEMENT D'OBLIGATION;FAMILLE;;202;PRIME DE REMBOURSEMENT D'OBLIGATION;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;202
202.001;Primes de remboursement des obligations;ARTICLE;202;202;PRIME DE REMBOURSEMENT D'OBLIGATION;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;202001
202.999;Autres primes de remboursement d'obligations;ARTICLE;202;202;PRIME DE REMBOURSEMENT D'OBLIGATION;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;202999
211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;FAMILLE;;211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;211
211.001;Installation de nouvelles technologies;ARTICLE;211;211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;211001
211.002;Recherches en vue de la valorisation des ressources humaines;ARTICLE;211;211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;211002
211.003;Frais d'études techniques immobilisés;ARTICLE;211;211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;211003
211.004;Recherches scientifiques et développement;ARTICLE;211;211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;211004
211.999;Autres frais de recherche et de développement;ARTICLE;211;211;FRAIS DE RECHERCHE ET DE DEVELOPPEMENT;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;211999
212;BREVETS, LICENSES, CONCESSIONS ET DROITS;FAMILLE;;212;BREVETS, LICENSES, CONCESSIONS ET DROITS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;212
212.001;Brevets;ARTICLE;212;212;BREVETS, LICENSES, CONCESSIONS ET DROITS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;212001
212.002;Licences;ARTICLE;212;212;BREVETS, LICENSES, CONCESSIONS ET DROITS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;212002
212.003;Concessions;ARTICLE;212;212;BREVETS, LICENSES, CONCESSIONS ET DROITS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;212003
212.004;Droits;ARTICLE;212;212;BREVETS, LICENSES, CONCESSIONS ET DROITS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;212004
212.999;Autres brevets, licences, concessions et droits;ARTICLE;212;212;BREVETS, LICENSES, CONCESSIONS ET DROITS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;212999
213;LOGICIELS;FAMILLE;;213;LOGICIELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;213
213.001;Développement de systèmes d’exploitation;ARTICLE;213;213;LOGICIELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;213001
213.002;Acquisition et développement du logiciel de gestion financière et comptable des collectivités territoriales;ARTICLE;213;213;LOGICIELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;213002
213.003;Acquisition et développement du logiciel de la comptabilité des matières;ARTICLE;213;213;LOGICIELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;213003
213.004;Droit d'exploitation de logiciel;ARTICLE;213;213;LOGICIELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;213004
214;MARQUES;FAMILLE;;214;MARQUES;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;214
214.001;Marques;ARTICLE;214;214;MARQUES;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;214001
214.999;Autres marques;ARTICLE;214;214;MARQUES;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;214999
215;DROIT AU BAIL;FAMILLE;;215;DROIT AU BAIL;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;215
215.001;Droit au bai;ARTICLE;215;215;DROIT AU BAIL;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;215001
215.999;Autres droit au bail;ARTICLE;215;215;DROIT AU BAIL;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;215999
219;AUTRES DROITS ET VALEURS INCORPORELS;FAMILLE;;219;AUTRES DROITS ET VALEURS INCORPORELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;219
219.999;Autres droits et valeurs incorporelles non ventilés ailleurs;ARTICLE;219;219;AUTRES DROITS ET VALEURS INCORPORELS;IMMOBILISATION;IMMOBILISATIONS INCORPORELLES;MOBILIER;incorporel;219999
221.001;Terrain à bâtir;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221001
221.002;Terrain d’exploitation agricole;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221002
221.003;Terrain pour bâtiments administratifs à usage de bureau;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221003
221.004;Terrain pour bâtiments administratifs à usage de logement;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221004
221.005;Terrain pour bâtiments administratifs à usage technique;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221005
221.006;Terrain pour réserves administratives;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221006
221.999;Autres terrains;ARTICLE;221;221;TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;221999
222.001;Carrières;ARTICLE;222;222;SOUS-SOLS, GISEMENTS ET CARRIERES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;222001
222.002;Gisements miniers;ARTICLE;222;222;SOUS-SOLS, GISEMENTS ET CARRIERES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;222002
222.003;Gisements d'hydrocarbures;ARTICLE;222;222;SOUS-SOLS, GISEMENTS ET CARRIERES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;222003
222.999;Autres sous-sols, gisements et carrières;ARTICLE;222;222;SOUS-SOLS, GISEMENTS ET CARRIERES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;222999
223.001;Plantation de café;ARTICLE;223;223;PLANTATIONS ET FORETS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;223001
223.002;Plantation de cacao;ARTICLE;223;223;PLANTATIONS ET FORETS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;223002
223.003;Plantation d'anacardes;ARTICLE;223;223;PLANTATIONS ET FORETS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;223003
223.004;Forêts;ARTICLE;223;223;PLANTATIONS ET FORETS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;223004
223.005;Plants-forêts;ARTICLE;223;223;PLANTATIONS ET FORETS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;223005
223.999;Autres plantations et forêts;ARTICLE;223;223;PLANTATIONS ET FORETS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;223999
224.002;Forage;ARTICLE;224;224;PLANS D?EAU;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;224002
224.003;Aménagement hydro-agricole;ARTICLE;224;224;PLANS D?EAU;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;224003
224.999;Autres plans d’eau;ARTICLE;224;224;PLANS D?EAU;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;224999
225;AMENAGEMENT DE TERRAINS;FAMILLE;;225;AMENAGEMENT DE TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;225
225.001;Aménagements des terrains;ARTICLE;225;225;AMENAGEMENT DE TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;225001
225.999;Autres aménagement des terrains;ARTICLE;225;225;AMENAGEMENT DE TERRAINS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;225999
226;AMENAGEMENT DES SOUS SOLS;FAMILLE;;226;AMENAGEMENT DES SOUS SOLS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;226
226.001;Aménagements de sous-sols;ARTICLE;226;226;AMENAGEMENT DES SOUS SOLS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;226001
226.999;Autres aménagements de sous-sols;ARTICLE;226;226;AMENAGEMENT DES SOUS SOLS;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;226999
227;TERRAINS MIS EN CONCESSION;FAMILLE;;227;TERRAINS MIS EN CONCESSION;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;227
227.001;Terrains mis en concession;ARTICLE;227;227;TERRAINS MIS EN CONCESSION;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;227001
